scenario_type,condition,severity,strength,method,target_coverage,selected_packets,actual_coverage,classification_risk,topology_mae_m,severe_error_rate
artificial_perturbation,amplitude_noise,level_2,0.1,Gated ACO,0.6,77,0.6015625,0.012987012987012988,0.0014285714285714212,0.0
artificial_perturbation,amplitude_noise,level_2,0.1,Gated ACO,0.7,90,0.703125,0.022222222222222223,0.11300000000000002,0.011111111111111112
artificial_perturbation,amplitude_noise,level_2,0.1,Gated ACO,0.8,103,0.8046875,0.08737864077669903,0.5573786407766991,0.02912621359223301
artificial_perturbation,amplitude_noise,level_2,0.1,Gated ACO,0.9,116,0.90625,0.1206896551724138,0.7268103448275863,0.034482758620689655
artificial_perturbation,amplitude_noise,level_2,0.1,Gated ACO,1.0,128,1.0,0.15625,0.8423437500000002,0.03125
artificial_perturbation,amplitude_noise,level_3,0.25,LDA,0.1,13,0.1015625,0.0,0.0,0.0
artificial_perturbation,amplitude_noise,level_3,0.25,LDA,0.2,26,0.203125,0.07692307692307693,0.26076923076923075,0.0
artificial_perturbation,amplitude_noise,level_3,0.25,LDA,0.3,39,0.3046875,0.15384615384615385,0.7851282051282052,0.05128205128205128
artificial_perturbation,amplitude_noise,level_3,0.25,LDA,0.4,52,0.40625,0.23076923076923078,1.3101923076923079,0.057692307692307696
artificial_perturbation,amplitude_noise,level_3,0.25,LDA,0.5,64,0.5,0.28125,1.3293750000000002,0.046875
artificial_perturbation,amplitude_noise,level_3,0.25,LDA,0.6,77,0.6015625,0.3116883116883117,1.6303896103896107,0.05194805194805195
artificial_perturbation,amplitude_noise,level_3,0.25,LDA,0.7,90,0.703125,0.3333333333333333,2.072888888888889,0.07777777777777778
artificial_perturbation,amplitude_noise,level_3,0.25,LDA,0.8,103,0.8046875,0.36893203883495146,2.268834951456311,0.07766990291262135
artificial_perturbation,amplitude_noise,level_3,0.25,LDA,0.9,116,0.90625,0.4224137931034483,2.626379310344828,0.08620689655172414
artificial_perturbation,amplitude_noise,level_3,0.25,LDA,1.0,128,1.0,0.4609375,2.9064062500000003,0.1015625
artificial_perturbation,amplitude_noise,level_3,0.25,Fixed fusion,0.1,13,0.1015625,0.15384615384615385,0.7907692307692309,0.07692307692307693
