scenario_type,condition,severity,strength,method,method_label,packets,candidate_recall,search_correct,search_accuracy,search_topology_mae_m,search_topology_p95_m,final_correct,final_accuracy,final_topology_mae_m,final_topology_p95_m,severe_error_rate,prediction_changes_vs_lda,beneficial_corrections,harmful_corrections,changed_but_still_wrong,correction_precision,mean_search_runtime_ms,p95_search_runtime_ms,mean_path_switches,mean_garbage_segments
artificial_perturbation,segment_anomaly,strength_1,1.0,greedy_path,Greedy path,128,1.0,104,0.8125,0.9396875000000002,6.670000000000002,107,0.8359375,0.8089843750000002,6.670000000000002,0.015625,12,6,6,0,0.5,0.07955277343785205,0.09592685000185952,0.0078125,0.0
artificial_perturbation,segment_anomaly,strength_1,1.0,no_pheromone,No pheromone,128,1.0,104,0.8125,0.9414062500000002,6.670000000000002,108,0.84375,0.7568750000000002,6.670000000000001,0.0078125,9,5,4,0,0.5555555555555556,4.484172812500242,4.617532999998275,0.0,0.0
artificial_perturbation,segment_anomaly,strength_1,1.0,full_aco,Full ACO,128,1.0,102,0.796875,1.02,6.670000000000002,105,0.8203125,0.8884375000000002,6.670000000000002,0.015625,13,5,7,1,0.38461538461538464,4.679861929686613,4.835680699999045,0.0,0.0
diagnostic_group,detect_score_db,0_cleanest,validation_quartile,average_cost,Average cost,42,1.0,35,0.8333333333333334,0.8721428571428572,6.669999999999998,40,0.9523809523809523,0.16142857142857145,0.0,0.0,0,0,0,0,,0.0013521190472450446,0.0016229000028289418,,
diagnostic_group,detect_score_db,0_cleanest,validation_quartile,greedy_path,Greedy path,42,1.0,36,0.8571428571428571,0.7940476190476191,6.669999999999998,39,0.9285714285714286,0.39833333333333343,3.220499999999986,0.0,3,1,2,0,0.3333333333333333,0.08185611904785278,0.09706039999635152,0.0,0.0
diagnostic_group,detect_score_db,0_cleanest,validation_quartile,no_pheromone,No pheromone,42,1.0,38,0.9047619047619048,0.4764285714285715,3.3845,40,0.9523809523809523,0.16142857142857145,0.0,0.0,0,0,0,0,,4.699681619047711,4.827664249999586,0.0,0.0
diagnostic_group,detect_score_db,0_cleanest,validation_quartile,full_aco,Full ACO,42,1.0,37,0.8809523809523809,0.6352380952380953,6.505999999999984,39,0.9285714285714286,0.39833333333333343,3.220499999999986,0.0,3,1,2,0,0.3333333333333333,4.883747095238702,5.024704800003832,0.0,0.0
diagnostic_group,detect_score_db,1_mild,validation_quartile,average_cost,Average cost,25,1.0,24,0.96,0.13560000000000003,0.0,25,1.0,0.0,0.0,0.0,0,0,0,0,,0.001386719999629804,0.003091799999310746,,
diagnostic_group,detect_score_db,1_mild,validation_quartile,greedy_path,Greedy path,25,1.0,25,1.0,0.0,0.0,25,1.0,0.0,0.0,0.0,0,0,0,0,,0.07745004000071276,0.09441680000321638,0.0,0.0
diagnostic_group,detect_score_db,1_mild,validation_quartile,no_pheromone,No pheromone,25,1.0,24,0.96,0.13560000000000003,0.0,25,1.0,0.0,0.0,0.0,0,0,0,0,,4.656949999999824,4.813349600000549,0.0,0.0
